round,train_loss
0,4.615839371838205
1,4.6177778991145395
2,4.580431783891269
3,4.527492224468719
4,4.483482769899672
5,4.4417601701649945
6,4.4039999819236915
7,4.3582742600060795
8,4.3187449968603575
9,4.287026874763411
10,4.256920598351765
11,4.229682525093556
12,4.202477199256097
13,4.174059814235985
14,4.149250593290086
15,4.128202122133843
16,4.106873928862212
17,4.083212624399431
18,4.059037230182826
19,4.039236907241491
20,4.022903446165733
21,3.9995015436389627
22,3.9798957308212253
23,3.9631927246362086
24,3.948450249401205
25,3.920722483485271
26,3.908584359428893
27,3.891653344821287
28,3.8797969111339543
29,3.8576248335835164
30,3.8401235191497034
31,3.823297048173032
32,3.807337806824731
33,3.7915561756853795
34,3.779400287915928
35,3.762760163488392
36,3.7415397790126756
37,3.7267563160679793
38,3.7126513266396337
39,3.7012507860644477
40,3.6796714009927185
41,3.665510311212455
42,3.64656547142623
43,3.631648850318034
44,3.608992939050214
45,3.591464247540256
46,3.574511737021507
47,3.5582936969711936
48,3.5412480414394474
49,3.5235367234730774
50,3.5069968106175136
51,3.4879646379607516
52,3.4723888588979355
53,3.4463941629611043
54,3.4331412384722197
55,3.4121262468579867
56,3.3916236613771833
57,3.3728227482481357
58,3.3559184333374303
59,3.337801279426488
60,3.3132553049043643
61,3.297521365472253
62,3.280760678651707
63,3.2539938088842884
64,3.2348267007532945
65,3.2139203324450967
66,3.198524562640747
67,3.1718113839145565
68,3.1517943989327386
69,3.128798260869101
70,3.108333527892099
71,3.0845480561177596
72,3.0631261677018835
73,3.0391462879112816
74,3.01619460004892
75,2.9894611030190488
76,2.972443670298425
77,2.939254392364519
78,2.91391614018397
79,2.888248019569626
80,2.8586874436752105
81,2.8382715955228854
82,2.7950716256055035
83,2.772656497163431
84,2.748949564750053
85,2.716974025639248
86,2.693747786039337
87,2.6631604806623113
88,2.636147432977933
89,2.60392658401226
90,2.5743749736399777
91,2.54836008874383
92,2.511481366404367
93,2.479435167953512
94,2.4535082348216135
95,2.417441177664493
96,2.38116237742236
97,2.3618644666422712
98,2.3257804797957626
99,2.2958595650498395
100,2.2525134259125834
101,2.237952656142535
102,2.200769438979078
103,2.1673990677513646
