round,test_acc
0,0.009245742092457421
1,0.22384428223844283
2,0.24087591240875914
3,0.2364963503649635
4,0.2613138686131387
5,0.28126520681265205
6,0.28905109489051095
7,0.31386861313868614
8,0.3046228710462287
9,0.32895377128953773
10,0.34744525547445254
11,0.3391727493917275
12,0.34647201946472017
13,0.35669099756691
14,0.3445255474452555
15,0.375669099756691
16,0.3854014598540146
17,0.40145985401459855
18,0.3834549878345499
19,0.3902676399026764
20,0.3980535279805353
21,0.41508515815085156
22,0.42627737226277373
23,0.42530413625304136
24,0.42871046228710463
25,0.42384428223844284
26,0.4233576642335766
27,0.42043795620437957
28,0.4291970802919708
29,0.42627737226277373
30,0.45498783454987834
31,0.4579075425790754
32,0.46909975669099757
33,0.4666666666666667
34,0.46958637469586373
35,0.4720194647201946
36,0.47007299270072994
37,0.4642335766423358
38,0.48759124087591244
39,0.4778588807785888
40,0.49002433090024333
41,0.4793187347931874
42,0.4807785888077859
43,0.49002433090024333
44,0.49878345498783455
45,0.5060827250608273
46,0.5021897810218978
47,0.48369829683698295
48,0.5021897810218978
49,0.5104622871046228
50,0.5065693430656935
51,0.4968369829683698
52,0.49878345498783455
53,0.5041362530413626
54,0.49343065693430654
55,0.5099756690997567
56,0.5158150851581509
57,0.5124087591240876
58,0.5046228710462287
59,0.5260340632603406
60,0.5148418491484185
61,0.5182481751824818
62,0.5255474452554745
63,0.5226277372262774
64,0.5250608272506083
65,0.5294403892944038
66,0.5240875912408759
67,0.5367396593673966
68,0.5304136253041363
69,0.5450121654501217
70,0.5260340632603406
71,0.5333333333333333
72,0.5284671532846715
73,0.5454987834549878
74,0.5391727493917275
75,0.524574209245742
76,0.540632603406326
77,0.5508515815085158
78,0.5425790754257908
79,0.5391727493917275
80,0.5328467153284672
81,0.5411192214111922
82,0.5430656934306569
83,0.5489051094890511
84,0.5610705596107056
85,0.5430656934306569
86,0.5503649635036496
87,0.5498783454987834
88,0.5450121654501217
89,0.5420924574209246
90,0.5527980535279805
91,0.5328467153284672
92,0.5489051094890511
93,0.5654501216545013
94,0.5615571776155718
95,0.5508515815085158
96,0.5552311435523114
97,0.5464720194647202
98,0.5620437956204379
99,0.5391727493917275
100,0.5664233576642336
101,0.5523114355231143
102,0.5474452554744526
103,0.5440389294403893
104,0.5635036496350365
105,0.5610705596107056
106,0.5484184914841849
107,0.5557177615571777
108,0.5717761557177615
109,0.5708029197080292
110,0.5484184914841849
111,0.5644768856447688
112,0.5420924574209246
113,0.559610705596107
114,0.5635036496350365
115,0.5722627737226277
116,0.5620437956204379
117,0.5678832116788322
118,0.5644768856447688
119,0.5576642335766423
120,0.5683698296836983
121,0.5776155717761557
122,0.5630170316301704
123,0.5678832116788322
124,0.5630170316301704
125,0.5678832116788322
126,0.5698296836982968
127,0.5644768856447688
128,0.5625304136253041
129,0.5737226277372263
