round,test_acc
0,0.09370209930023325
1,0.7981339553482173
2,0.8167277574141952
3,0.8186604465178274
4,0.8236587804065312
5,0.8320559813395535
6,0.8343885371542819
7,0.8285238253915361
8,0.8341219593468844
9,0.8369876707764079
10,0.8429856714428524
11,0.8447184271909364
12,0.8527157614128624
13,0.8558480506497834
14,0.8476507830723092
15,0.8588470509830056
16,0.8557147617460846
17,0.8565811396201266
18,0.8609130289903365
19,0.8602465844718428
20,0.8589803398867044
21,0.860113295568144
22,0.8653115628123959
23,0.8603132289236921
24,0.8708430523158947
25,0.8677107630789737
26,0.8625791402865711
27,0.863245584805065
28,0.8683105631456182
29,0.8642452515828057
30,0.8689103632122626
31,0.870709763412196
32,0.8700433188937021
33,0.8726424525158281
34,0.8727090969676774
35,0.8715094968343885
36,0.8739753415528158
37,0.8702432522492503
38,0.8745751416194602
39,0.8693768743752083
40,0.87350883038987
41,0.8693768743752083
42,0.8726424525158281
43,0.8750416527824059
44,0.8762412529156948
45,0.8711096301232922
46,0.8747750749750083
47,0.8724425191602799
48,0.8775741419526825
49,0.8758413862045985
50,0.8781739420193269
51,0.8791736087970676
52,0.8759080306564478
53,0.8777074308563813
54,0.8770409863378874
55,0.8772409196934355
56,0.8723758747084305
57,0.8781739420193269
58,0.882705764745085
59,0.8780406531156282
60,0.8798400533155615
61,0.8800399866711096
62,0.8811062979006997
63,0.8764411862712429
64,0.8831056314561813
65,0.8821726091302899
66,0.8813728757080973
67,0.8862379206931023
68,0.8838387204265244
69,0.8855048317227591
70,0.8847717427524159
71,0.8846384538487171
72,0.8815061646117961
73,0.8853048983672109
74,0.8854381872709097
75,0.8861712762412529
76,0.8877040986337887
77,0.8847717427524159
78,0.8807064311896035
79,0.8893035654781739
80,0.8893035654781739
81,0.8884371876041319
82,0.8885038320559814
83,0.8897034321892703
84,0.8921692769076974
85,0.886704431856048
86,0.8903032322559147
87,0.8902365878040653
88,0.8913695434855048
89,0.891569476841053
90,0.8952349216927691
