round,train_loss
0,5.29863316221683
1,5.297724648239675
2,5.29656587359299
3,5.299951010174463
4,5.315059356841693
5,5.31192846309092
6,5.30134060282256
7,5.293065369061217
8,5.287853348622164
9,5.280856342380919
10,5.2732929808248
11,5.262554809196237
12,5.251989402140288
13,5.237644714803489
14,5.222933357634593
15,5.210006799773996
16,5.194252137039515
17,5.180833832839739
18,5.16543212529599
19,5.148535827410534
20,5.132109241311607
21,5.114188038228991
22,5.0959211972583525
23,5.078472618638042
24,5.0608399960986565
25,5.041802036041816
26,5.0205012433477245
27,5.002139279073021
28,4.982196516430636
29,4.9574429094451595
30,4.934373256961731
31,4.914120136400177
32,4.89429664557445
33,4.870677214527891
34,4.847227197144703
35,4.823214016591401
36,4.801435417297085
37,4.779276500677981
38,4.755032715531004
39,4.732902212316933
40,4.710445188741999
41,4.689009273065809
42,4.669190132223758
43,4.650615619824713
44,4.626374725876811
45,4.608380759183738
46,4.590519326306803
47,4.574879323335167
48,4.558440443863211
49,4.543416103724063
50,4.530577979038895
51,4.513931139844853
52,4.496841319746411
53,4.480518388911283
54,4.4700326071361856
55,4.454965171411616
56,4.441563698149869
57,4.425784409250066
58,4.4151282729145604
59,4.404134530705764
60,4.388999506440375
61,4.376785620044547
62,4.3647599829235535
63,4.35351801108879
64,4.3439060981080635
65,4.330725585041459
66,4.317237388584742
67,4.309254406523405
68,4.293389116752651
69,4.2808247564048285
70,4.269387293025052
71,4.2581847244140905
72,4.249277522653647
73,4.235894657187206
74,4.221901156067712
75,4.210080417015398
76,4.199564330798054
77,4.179715455326006
78,4.166407534306786
79,4.158893612934491
80,4.143122036889315
81,4.13415153132605
82,4.117485804324003
83,4.100473044263868
84,4.089760823287877
85,4.0774648116143295
86,4.062868523081189
87,4.053675821732768
88,4.034077549741912
89,4.02079651320402
90,4.007773131302036
91,3.992681297228301
92,3.9798908576182384
93,3.9660564148575577
94,3.951536776674242
95,3.9371515290902983
96,3.9214446381533024
97,3.9077470392294593
98,3.895153594805414
99,3.876428108258829
100,3.8610238101898333
101,3.8459695421303692
102,3.822461790750345
103,3.806719743267568
104,3.792628025383335
105,3.780465717326548
106,3.7636607438155973
107,3.7459845243865026
108,3.7271676533850187
109,3.7107780806151056
110,3.698203466093527
111,3.681608374605429
112,3.6567365845905333
113,3.6358466338676356
114,3.6268871926119552
115,3.605874053156906
116,3.5861550176700954
117,3.5708908102259533
118,3.547704180126995
119,3.524782657895148
120,3.5101998096996727
