round,train_loss
0,2.310004119154151
1,0.11717641049644446
2,0.095891642534791
3,0.05488356135502477
4,0.04962077815740307
5,0.03301906255766085
6,0.02647041090542156
7,0.02210341369181042
8,0.019476362481625216
9,0.01755852972379654
10,0.013257605740107507
11,0.012584043221368897
12,0.012893106866834989
13,0.011080806297547001
14,0.009710922066705208
15,0.00621234339025873
16,0.005053875638526408
17,0.011327504780205623
18,0.005002328246505744
19,0.00415160813300147
20,0.004129716117353322
21,0.005799136471075559
22,0.0031814534627264994
23,0.0050741479299809674
24,0.003376085051677604
25,0.0015110751780152433
26,0.0019059704963918587
27,0.0013997769810436948
28,0.0015358616477771933
29,0.0021970806972542306
30,0.001053070004247924
31,0.0027609810438953396
32,0.0014340542862600722
33,0.005230644405884083
34,0.0008822746994950665
35,0.003628417428051746
36,0.00127517713211025
37,0.0008107583364465057
38,0.000639810300480444
39,0.0006409212194502242
40,0.0003947422689221384
41,0.0003595418921527577
42,0.00032990614220644967
43,0.0003286959899187936
44,0.0002827035600507093
45,0.0002628233365770247
46,0.0002708982696089576
47,0.00023577318104167473
48,0.00021733655411992648
49,0.00020575165877493654
50,0.00020456990686325063
51,0.00019123210231100814
52,0.00018408991215279613
53,0.00018253371154676476
54,0.0001745435972376862
55,0.00016252184015603307
56,0.00015870682550457002
57,0.00015108438426607957
58,0.0001502633050984689
59,0.00014089296167054576
60,0.0001392102152981845
61,0.00013346115759212376
62,0.0001295652705022431
63,0.0001269453146872294
64,0.00012043721991824193
65,0.0001191673418239838
66,0.00011572384428371899
67,0.0001109594451439882
68,0.0001078999275391789
69,0.00010711356593273544
70,0.0001044922832484501
71,9.99201478579731e-05
72,9.849327218485498e-05
73,9.621412969925547e-05
74,9.307283127379872e-05
75,9.157775479975393e-05
76,9.018881242071454e-05
77,8.746994142211523e-05
78,8.603605509031282e-05
79,8.39195467976899e-05
80,8.2200114952731e-05
81,8.063108079976642e-05
82,7.904171949108068e-05
83,7.698705148252277e-05
84,7.588544969111705e-05
85,7.44629363912802e-05
86,7.260558018084794e-05
87,7.135048746517134e-05
88,7.074086309790604e-05
89,6.885837476481025e-05
90,6.824753677979516e-05
91,6.658693705214439e-05
92,6.559078364261502e-05
93,6.482867478432263e-05
94,6.36622526940446e-05
95,6.213908536081942e-05
96,6.129167733333713e-05
97,5.9887138566343584e-05
98,5.916085371937365e-05
99,5.8160709767159866e-05
100,5.752599706703267e-05
101,5.709165371407189e-05
102,5.5733483331356244e-05
103,5.49532191080957e-05
104,5.4371300742994e-05
105,5.337100120417571e-05
106,5.258575373317976e-05
107,5.18568415814466e-05
108,5.126534552750644e-05
109,5.048393018058097e-05
110,4.9431945061931715e-05
111,5.063009722165967e-05
112,4.818734821101393e-05
113,4.7655388612544234e-05
114,4.705650888053884e-05
115,4.6378205084463506e-05
116,4.5944829485943175e-05
117,4.5286325439436995e-05
118,4.4579257102473386e-05
119,4.4216241163420334e-05
120,4.361502184578234e-05
121,4.3111000363692455e-05
122,4.26027154762171e-05
123,4.2078832502547746e-05
124,4.152386616580546e-05
125,4.109031947068192e-05
126,4.064607048136755e-05
127,4.0011121727273145e-05
128,3.9614889206222506e-05
129,3.902192211173292e-05
130,3.856123237008413e-05
131,3.8538392950312245e-05
132,3.792173146799377e-05
133,3.7450031384485704e-05
134,3.7076549297704024e-05
135,3.6789240218191994e-05
136,3.609490552374979e-05
137,3.5898912823672574e-05
138,3.556035588008465e-05
139,3.520634420116978e-05
140,3.4640139718094374e-05
141,3.4425789189111274e-05
142,3.409698765060151e-05
143,3.374368330339604e-05
144,3.3413946595361076e-05
145,3.307187276298041e-05
146,3.2637549312831176e-05
147,3.240648317671756e-05
148,3.203385058788538e-05
149,3.187973477369521e-05
150,3.157120532739288e-05
151,3.132726341975852e-05
152,3.087093822819969e-05
153,3.072842920817516e-05
154,3.053934039048924e-05
155,2.998281023262008e-05
156,2.966779462311834e-05
157,2.952501956539609e-05
158,2.9324001062332194e-05
159,2.89775390285025e-05
160,2.8685358634163468e-05
161,2.852514866922047e-05
162,2.8402662384647278e-05
163,2.8042108676970438e-05
164,2.7766246636003963e-05
165,2.7528866978834767e-05
166,2.7384246062726615e-05
167,2.7182204668352814e-05
168,2.6762778284320304e-05
169,2.6628257316757172e-05
170,2.6352833950085208e-05
171,2.6140465566423948e-05
172,2.6039567218288377e-05
173,2.5797380353813167e-05
174,2.5553095514347958e-05
175,2.539571709177585e-05
176,2.5163185486200756e-05
177,2.5006257195558e-05
178,2.479575298580138e-05
179,2.4593014364286754e-05
180,2.4387324937701443e-05
181,2.4252560025700124e-05
182,2.401514793840144e-05
183,2.3884732156027886e-05
184,2.3673952458705342e-05
185,2.3514620523884235e-05
186,2.3327364563253252e-05
187,2.3191755861738016e-05
188,2.2999924534431845e-05
189,2.2923164917871017e-05
190,2.2673009756616492e-05
191,2.253031977626704e-05
192,2.2330725074788003e-05
193,2.2190637779211936e-05
194,2.202363712880665e-05
195,2.185352988917936e-05
196,2.1839299864655078e-05
197,2.154013392667531e-05
198,2.1354419515839008e-05
199,2.124795522934658e-05
200,2.10470258705309e-05
201,2.0962152346118444e-05
202,2.0825391498119816e-05
203,2.082050212614518e-05
204,2.04753353273882e-05
205,2.040110359164434e-05
206,2.0297487160345645e-05
207,2.0081706681599536e-05
208,1.9967318607898372e-05
209,1.9865498804055477e-05
210,1.9822415762458093e-05
211,1.9678503553816527e-05
212,1.94461484014687e-05
213,1.936108864273159e-05
214,1.9238827827530153e-05
215,1.9108172578059727e-05
216,1.897820868890961e-05
217,1.8803917772541232e-05
218,1.8742613665863677e-05
219,1.8574618160356275e-05
220,1.850857881631518e-05
221,1.8420869529666328e-05
222,1.8306708993341386e-05
223,1.8198481760913495e-05
224,1.8090286076573917e-05
225,1.7942639719064375e-05
226,1.7846893642403744e-05
227,1.7706987324670398e-05
228,1.7599828132042618e-05
229,1.75169175932112e-05
230,1.7442794777420973e-05
231,1.737826649222807e-05
232,1.7203151430248564e-05
233,1.7044649263214086e-05
234,1.70429472019554e-05
235,1.7001079921964414e-05
