round,test_acc
0,0.05843376934940309
1,0.9043811047009768
2,0.9320271891243502
3,0.4994573599131776
4,0.7741474838635974
5,0.8302393328382932
6,0.6806991489118638
7,0.7847146855543496
8,0.8142457302793168
9,0.7531273205003712
10,0.7997943679670989
11,0.9053521448563432
12,0.9112926258068201
13,0.9002113440338151
14,0.8823899011823841
15,0.8270977323356372
16,0.9233449477351916
17,0.9232878277260524
18,0.7922545267607243
19,0.9281430285028845
20,0.9047238247558119
21,0.897355343576855
22,0.9018107042897127
23,0.9242017478722797
24,0.8517735762837723
25,0.9122636659621866
26,0.8870166219226595
27,0.9163763066202091
28,0.8876449420231908
29,0.9371108699377392
30,0.9256297481007597
31,0.9104929456788713
32,0.9359113497458159
33,0.9344262295081968
34,0.8767921402867425
35,0.9236305477808876
36,0.845775975324156
37,0.9331124692979951
38,0.9136345461815274
39,0.9428799908607985
40,0.9122636659621866
41,0.9453932712629234
42,0.8557148569143771
43,0.9509910321585652
44,0.9190038270406123
45,0.9549894327983093
46,0.9055806248929
47,0.9054092648654823
48,0.9045524647283943
49,0.9487062317929971
50,0.9382532701205232
51,0.9548180727708916
52,0.9415091106414577
53,0.9505911920945908
54,0.9261438281830126
55,0.9240875078540013
56,0.9203175872508139
57,0.9474495915919346
58,0.9148911863825898
59,0.9636716741874679
60,0.9359684697549552
61,0.9635003141600502
62,0.897640943622551
63,0.9325983892157422
64,0.9258582281373166
65,0.9470497515279602
66,0.9527046324327412
67,0.9119209459073514
68,0.9559604729536757
69,0.9274575883932141
70,0.9504769520763123
71,0.9183755069400811
72,0.9416233506597361
73,0.9668132746901239
74,0.9407665505226481
75,0.9596161535385845
76,0.9336836693893871
77,0.9535614325698292
78,0.9412235105957617
79,0.9571028731364597
80,0.9008396641343462
81,0.9595019135203061
82,0.9179756668761067
83,0.9642428742788599
84,0.9557891129262581
85,0.9452219112355058
86,0.9560747129719541
87,0.9660135945621752
88,0.9513908722225396
89,0.9582452733192437
90,0.9402524704403953
91,0.9516764722682356
92,0.9587593534014965
93,0.9391100702576113
94,0.9621865539498486
95,0.9597875135660021
96,0.9569886331181813
97,0.9296281487405038
98,0.9633289541326326
99,0.960872793739647
100,0.9646427143428343
