round,test_acc
0,0.010594349680170576
1,0.03884594882729211
2,0.06056769722814499
3,0.07695895522388059
4,0.09728144989339019
5,0.1154051172707889
6,0.12679904051172708
7,0.14652185501066098
8,0.16031449893390193
9,0.17623933901918976
10,0.19289712153518124
11,0.2025586353944563
12,0.20955490405117272
13,0.22028251599147122
14,0.22841151385927505
15,0.23694029850746268
16,0.24073827292110875
17,0.24940031982942432
18,0.2544642857142857
19,0.26026119402985076
20,0.2659914712153518
21,0.2682569296375267
22,0.2732542643923241
23,0.27705223880597013
24,0.2819829424307036
25,0.2849147121535181
26,0.28911247334754797
27,0.2912446695095949
28,0.29324360341151384
29,0.2953091684434968
30,0.2965085287846482
31,0.3006396588486141
32,0.30357142857142855
33,0.3074360341151386
34,0.3076359275053305
35,0.310634328358209
36,0.3119669509594883
37,0.3127665245202559
38,0.3160314498933902
39,0.31749733475479747
40,0.31636460554371004
41,0.31942963752665243
42,0.31949626865671643
43,0.3204957356076759
44,0.32136194029850745
45,0.32156183368869934
46,0.3217617270788913
47,0.3220282515991471
48,0.3217617270788913
49,0.32162846481876334
50,0.32456023454157784
51,0.32296108742004265
52,0.32142857142857145
53,0.324160447761194
54,0.32569296375266527
55,0.3243603411513859
56,0.32482675906183367
57,0.32269456289978676
58,0.32562633262260127
59,0.32535980810234544
60,0.32482675906183367
61,0.3226279317697228
62,0.32482675906183367
63,0.32562633262260127
64,0.3254930703624733
65,0.32722547974413646
66,0.32509328358208955
67,0.3250266524520256
68,0.32609275053304904
69,0.32429371002132196
70,0.3262926439232409
71,0.3230943496801706
72,0.32356076759061836
73,0.32356076759061836
74,0.32356076759061836
75,0.3240271855010661
76,0.32216151385927505
77,0.3228944562899787
78,0.32216151385927505
79,0.32162846481876334
80,0.32269456289978676
81,0.3214952025586354
82,0.3220282515991471
83,0.3214952025586354
84,0.3210287846481876
85,0.32196162046908317
86,0.32189498933901917
87,0.32162846481876334
88,0.32116204690831557
89,0.32429371002132196
90,0.32162846481876334
91,0.32276119402985076
92,0.3208955223880597
93,0.3185634328358209
94,0.32142857142857145
95,0.32116204690831557
96,0.32062899786780386
97,0.3188299573560768
98,0.32002931769722814
99,0.3216950959488273
100,0.3201625799573561
101,0.32002931769722814
102,0.32116204690831557
103,0.3196961620469083
104,0.3198960554371002
105,0.32136194029850745
106,0.3218283582089552
107,0.32156183368869934
108,0.322294776119403
109,0.3220948827292111
110,0.3208955223880597
111,0.3204291044776119
112,0.3218283582089552
113,0.3201625799573561
114,0.3206956289978678
115,0.32062899786780386
116,0.3199626865671642
117,0.3210287846481876
118,0.3212286780383795
119,0.3206956289978678
120,0.3206956289978678
121,0.32056236673773986
122,0.31922974413646055
123,0.3196961620469083
124,0.3180970149253731
125,0.3198960554371002
126,0.3198960554371002
127,0.31929637526652455
128,0.3204957356076759
129,0.3209621535181237
130,0.32162846481876334
131,0.3210287846481876
132,0.3199626865671642
133,0.3198960554371002
134,0.32056236673773986
135,0.3200959488272921
136,0.3198960554371002
137,0.3191631130063966
138,0.32002931769722814
139,0.31823027718550106
140,0.32029584221748403
141,0.31929637526652455
142,0.31922974413646055
143,0.31949626865671643
144,0.31976279317697226
145,0.3204291044776119
146,0.32029584221748403
147,0.32036247334754797
148,0.3212953091684435
149,0.32116204690831557
150,0.3196961620469083
151,0.3195628997867804
152,0.32082889125799574
153,0.3209621535181237
154,0.32022921108742003
155,0.32076226012793174
156,0.32036247334754797
157,0.32116204690831557
158,0.32056236673773986
159,0.32062899786780386
160,0.3206956289978678
161,0.32056236673773986
162,0.32036247334754797
163,0.3204291044776119
164,0.3204291044776119
165,0.31976279317697226
166,0.31976279317697226
167,0.3196961620469083
168,0.31982942430703626
169,0.3198960554371002
170,0.3196295309168444
171,0.32056236673773986
172,0.32036247334754797
173,0.3195628997867804
174,0.31942963752665243
175,0.31982942430703626
176,0.31976279317697226
177,0.32029584221748403
178,0.3191631130063966
179,0.31942963752665243
180,0.3209621535181237
