round,train_loss
0,4.626060375679444
1,4.602649617903303
2,4.561347809561802
3,4.526893579920526
4,4.492860183464025
5,4.462779718657138
6,4.428458242919972
7,4.394945365367549
8,4.3509607252114675
9,4.297979454396188
10,4.240898793680047
11,4.171473000309255
12,4.105786309383883
13,4.045445841137726
14,3.9791929867401374
15,3.920159658189654
16,3.870344101792515
17,3.8249739011128745
18,3.7750109473470808
19,3.730110222750371
20,3.6856185799778096
21,3.632413309792874
22,3.5887720250453885
23,3.551588959032946
24,3.5131797259396844
25,3.4672921974666835
26,3.4242868030031914
27,3.385057368687671
28,3.357484560988524
29,3.3202866394527675
30,3.2817510421520018
31,3.25157631230433
32,3.2218357891139418
33,3.190106735567842
34,3.165408518841558
35,3.1310060449165875
36,3.103923266476924
37,3.0659597657694677
38,3.0473252615519484
39,3.0303531062878397
40,3.013099520119897
41,2.9797904300611013
42,2.960534131763005
43,2.9399794953884464
44,2.9143398498544597
45,2.877384175365121
46,2.8674092408847494
47,2.855305832604764
48,2.8282395976998234
49,2.8029539709043974
50,2.7818372812208167
51,2.770368794206739
52,2.754465336453403
53,2.7389084682999663
54,2.712389057815665
55,2.711009924364562
56,2.6888657491592682
57,2.667993469796952
58,2.6480311090403266
59,2.6295453847044765
60,2.6139296729965964
61,2.5923351401543067
62,2.588530431289484
63,2.5726075689784764
64,2.558226574962289
65,2.5307732633631614
66,2.5274988804319904
67,2.5095600712023947
68,2.493805411428508
69,2.483709717544392
70,2.4693067606919668
71,2.450715989562938
72,2.4383362600512237
73,2.4228923643382863
74,2.409350764239975
75,2.400842551941132
76,2.3865673150559856
77,2.3638280277991846
78,2.3450315862205557
79,2.335856275589946
80,2.3250284733945388
81,2.3094491281918565
82,2.3022036009495803
83,2.28085523853601
84,2.2759936341751525
85,2.2760366801381506
86,2.246806586339529
87,2.236647823462785
88,2.224853874629874
89,2.2052463058984713
90,2.2104664325910828
91,2.1896152654693464
92,2.17020849937653
93,2.1579059854199
94,2.146166398580318
95,2.1384046542959245
96,2.1237741240573795
97,2.1026019964477802
98,2.10444773177896
99,2.0932205205309904
100,2.0724513356638425
101,2.05674353969766
102,2.038644854581789
103,2.033309597583494
104,2.0329200642140393
105,2.013335005580002
106,2.0119297519178674
107,2.003309530491876
108,1.9788039955172207
109,1.9599594465970207
110,1.9430449631544624
111,1.946704792405906
112,1.9351807240605747
113,1.9185165267179507
114,1.900468779574133
115,1.8990342096723738
116,1.8935274192602327
117,1.8837889887318753
118,1.859313609871534
119,1.848947380340532
120,1.840352200242159
121,1.8338936332232094
122,1.8218046235959522
123,1.8288885925469225
124,1.7910679879755076
125,1.7887242597715296
126,1.7725826063171866
127,1.7658512783129223
128,1.757472051645663
129,1.7415133885817953
130,1.7190480534196293
131,1.7317974348076106
132,1.6990962402261915
133,1.6988183596838426
134,1.694263941679064
135,1.6780210873573134
136,1.6820098793152536
137,1.6569518520690427
138,1.6398730038514626
139,1.6360420586154012
140,1.6294813278583016
141,1.6198416445711659
142,1.6026138872793405
143,1.5945130999233856
144,1.5814732752322365
145,1.5805994708939355
146,1.5650172345709092
147,1.5547516480727557
148,1.5630856283722143
149,1.532016907047124
150,1.5184389072479587
151,1.507665368098237
152,1.4940562589530504
153,1.5040306807449548
154,1.4835012677577462
155,1.4758503855553398
156,1.4607640214190625
157,1.447468999883916
158,1.442024113665713
159,1.4291241751744015
160,1.4124598312299244
161,1.4010254860219389
162,1.3989590825420795
163,1.3895089430334937
164,1.374260453058548
165,1.3598938101392375
166,1.3471479040167906
167,1.3453187339327517
168,1.3335299530733538
169,1.3325160951799293
170,1.323414429186201
171,1.3143646683138195
172,1.298826965856867
173,1.286047082849265
174,1.2891776263467942
175,1.259732177425729
176,1.254876142140269
177,1.2449186126587808
178,1.2440137201213206
179,1.2271898066741798
180,1.2320643246862362
181,1.2191255294253724
182,1.2088502756882422
183,1.1999689885614926
184,1.1924758385313619
185,1.1934470808250282
186,1.171030620733897
187,1.1538191256989347
188,1.1491187328208399
189,1.141397717418057
190,1.1318769031772913
191,1.116992312000923
192,1.1100845610839698
193,1.1076183736127596
194,1.096829335017763
195,1.08904711924272
196,1.0794384454687436
197,1.0803641485105646
198,1.0708718282407266
199,1.0623387327731246
200,1.0630598735347045
201,1.0506530830470642
202,1.0404619320784465
203,1.0247614764525455
204,1.0223294813985084
205,1.0115186502241065
206,0.9968369659958499
207,1.0141579627548114
208,1.0108478827149954
209,0.9981964680277081
210,0.9716928979695434
211,0.9707827637888023
212,0.9664637482549885
213,0.9594224241282484
214,0.9582539852770051
215,0.9345848309767522
216,0.9182672566878717
217,0.9206271654259254
218,0.923256033398334
219,0.9222426129007103
220,0.9022794197691549
221,0.9099368048653548
222,0.8892579189572397
223,0.8881382332997944
224,0.8722483155013311
225,0.8598959518000238
226,0.8651293804346532
227,0.8618216634337658
228,0.8499935576477067
229,0.8461258140924347
230,0.8411720550062731
231,0.8253338857870488
232,0.8291224693455318
233,0.8144314889442605
234,0.8205725159926383
235,0.8149849939046323
236,0.8056072294712067
237,0.8095351162031539
238,0.7952882790132718
239,0.7983268704818617
240,0.7769162357468219
241,0.7722542271903245
242,0.7717437550991085
243,0.7660279091164814
244,0.7774414368981969
245,0.7781294492801817
246,0.7518509021735821
247,0.7387848104789804
248,0.7340746636044467
249,0.72587319834791
250,0.7376948355669433
251,0.7200518940320306
252,0.7159919297636146
